category,user,bot
sleep_issues,I stay awake till 3 AM scrolling on my phone.,Late-night screen time can disturb sleep. Try putting your phone aside 1 hour before bed and reading instead.
burnout,I feel tired all the time and don’t want to study.,"That sounds like burnout. Short breaks, balanced meals, and talking to a friend or counsellor may help."
loneliness,I feel so lonely in the hostel. Everyone else has friends.,I hear you 💙. Adjusting to hostel life can take time. Reaching out to one or two classmates or joining a club may help.
sleep_issues,I stay awake till 3 AM scrolling on my phone.,Late-night screen time can disturb sleep. Try putting your phone aside 1 hour before bed and reading instead.
burnout,I feel tired all the time and don’t want to study.,"That sounds like burnout. Short breaks, balanced meals, and talking to a friend or counsellor may help."
career_anxiety,"I’m worried about placements, what if I don’t get selected?",Placement stress is real. Preparing step by step and practicing with peers can boost your confidence. Want some resources?
exam_stress,I panic whenever I think about my exam results.,Exam results don’t define your worth 💙. Focus on giving your best effort and remember you can always improve.
career_anxiety,I feel like I’ll never get a good job.,"That fear is valid, but remember skills matter more than luck 💙. Keep learning and opportunities will come."
exam_stress,I can’t focus while studying for exams.,"Distractions are common. Try the Pomodoro technique—25 minutes study, 5 minutes break. It helps boost focus."
crisis,I think about ending everything.,You are not alone 💙. Your life matters. Please talk to someone you trust or call 1800-599-0019 for immediate support.
sleep_issues,"Even if I sleep, I wake up tired.",Good sleep needs routine. Going to bed at the same time daily and avoiding caffeine at night may help.
sleep_issues,"Even if I sleep, I wake up tired.",Good sleep needs routine. Going to bed at the same time daily and avoiding caffeine at night may help.
burnout,Assignments are piling up and I feel drained.,It’s normal to feel drained. Break big tasks into smaller goals and reward yourself after completing them.
loneliness,I feel so lonely in the hostel. Everyone else has friends.,I hear you 💙. Adjusting to hostel life can take time. Reaching out to one or two classmates or joining a club may help.
career_anxiety,I feel like I’ll never get a good job.,"That fear is valid, but remember skills matter more than luck 💙. Keep learning and opportunities will come."
crisis,Sometimes I feel like giving up completely.,I’m really concerned about your safety 💙. You are not alone. Please reach out to your college counsellor or call 1800-599-0019.
peer_comparison,I feel like I’m not smart enough compared to others.,You are capable in your own way 💙. Skills improve with practice. Don’t be harsh on yourself.
peer_comparison,I keep comparing myself to my classmates.,"Comparison can be tough. Remember everyone has their own journey 💙. Focus on your growth, not competition."
crisis,Sometimes I feel like giving up completely.,I’m really concerned about your safety 💙. You are not alone. Please reach out to your college counsellor or call 1800-599-0019.
loneliness,I miss my family a lot here in hostel.,Being away from family is tough. Staying connected through calls or writing a journal can bring comfort 💙.
